SP;Nro Arb;COD;CIF;NOMBRE VULGAR;NOMBRE CIENTIFICO ;POM;X;Y;DAP;CD;HT;HC;ESTE;NORTE
90;6;;;Carahuasca;Guatteria elata;;95.1;86.5;33.9;30 a 39.9;2.132.781;22.733.272;667214.1;9537430.5
90;7;;;Machimango colorado;Eschweilera grandiflora;;94.7;83.7;28.1;20 a 29.9;1.942.599;19.279.372;667213.7;9537427.7
90;8;;;Shimbillo;Inga ruiziana;;92.6;84.7;14.8;10 a 19.9;1.506.492;9.885.848;667211.6;9537428.7
90;9;;411;Huasaí;Euterpe precatoria;;100;82.8;11.3;10 a 19.9;1.391.727;7.072.828;667219;9537426.8
91;1;;;Punga;Pseudobombax munguba;;98.4;96.1;20.6;20 a 29.9;1.696.674;14.234.572;667217.4;9537440.1
91;2;;;Chimicua;Perebea guianensis;;95.15;93.5;21.2;20 a 29.9;1.716.348;14.662.168;667214.15;9537437.5
91;3;;;Bellaco Caspi;Himatanthus sucuuba;;96.2;91.2;28.4;20 a 29.9;1.952.436;19.467.592;667215.2;9537435.2
92;1;;112;Lupuna;Pachira insignis;;82.7;97.7;20;20 a 29.9;16.77;138.028;667201.7;9537441.7
92;2;;411;Huicungo;Astrocaryum murumuru;;88.75;98.6;14.9;10 a 19.9;1.509.771;9.964.132;667207.75;9537442.6
92;3;;;Copal;Protium amazonicum;;83;93;11.7;10 a 19.9;1.404.843;7.401.508;667202;9537437
92;4;;;Copal;Protium amazonicum;;86.13;90.4;10.7;10 a 19.9;1.372.053;6.576.328;667205.13;9537434.4
92;5;;;Copal;Protium amazonicum;;86.82;92.2;13.1;10 a 19.9;1.450.749;8.537.272;667205.82;9537436.2
92;6;;;Aguanillo;Pouteria guianensis;;80.4;96.6;19.4;10 a 19.9;1.657.326;13.366.852;667199.4;9537440.6
92;7;;411;Huicungo;Astrocaryum murumuru;;80.1;94.3;11.3;10 a 19.9;1.391.727;7.072.828;667199.1;9537438.3
93;1;;;Moena;Ocotea spp;;70.2;90.2;18.3;10 a 19.9;1.621.257;12.556.768;667189.2;9537434.2
93;2;;;Carahuasca;Guatteria elata;;79;90.8;16.7;10 a 19.9;1.568.793;11.353.408;667198;9537434.8
93;3;;;Canilla de vieja ;Duguetia spixiana;;77.6;92;13.9;10 a 19.9;1.476.981;9.176.072;667196.6;9537436
93;4;;;Yacushapana;Terminalia corrugata;;77.6;95.8;19.4;10 a 19.9;1.657.326;13.366.852;667196.6;9537439.8
93;5;;;Shimbillo;Inga ruiziana;;71.85;95.3;14.9;10 a 19.9;1.509.771;9.964.132;667190.85;9537439.3
93;6;;;Bellaco Caspi;Himatanthus sucuuba;;73.1;94.3;26.1;20 a 29.9;1.877.019;17.997.892;667192.1;9537438.3
93;7;;;Requia;Guarea guidonia;;73.85;93.2;17.7;10 a 19.9;1.601.583;12.108.988;667192.85;9537437.2
93;8;;;Bushillo;Tachigali paniculata;;71.3;92.7;10.3;10 a 19.9;1.358.937;6.243.008;667190.3;9537436.7
94;1;;;Carahuasca;Guatteria elata;;68.9;94.6;20;20 a 29.9;16.77;138.028;667187.9;9537438.6
94;2;;;Cumala;Virola duckei;;68.6;94.2;11;10 a 19.9;138.189;68.251;667187.6;9537438.2
94;3;;;Copal;Protium amazonicum;;66.6;94.8;11.7;10 a 19.9;1.404.843;7.401.508;667185.6;9537438.8
94;4;;;Pinsha ñahui;Matayba macrocarpa;;66.2;98.2;11.9;10 a 19.9;1.411.401;7.565.152;667185.2;9537442.2
94;5;;;Sacha guayaba;Casearia decandra;;64.5;96.1;11.1;10 a 19.9;1.385.169;6.907.792;667183.5;9537440.1
94;6;;;Carahuasca;Guatteria elata;;62.66;96.6;12.5;10 a 19.9;1.431.075;80.533;667181.66;9537440.6
